,Unnamed: 0,file_name,text
0,0,Pepper__bell___Bacterial_spot/0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot 8964.JPG,a leaf and a bird on a wall
1,1,Pepper__bell___Bacterial_spot/006adb74-934f-448f-a14f-62181742127b___JR_B.Spot 3395.JPG,a leaf on a sidewalk
2,2,Pepper__bell___Bacterial_spot/01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot 3262.JPG,leaves and water in the ground
3,3,Pepper__bell___Bacterial_spot/0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot 9169.JPG,"leaves in the middle of the image texting that reads, your path to freedom"
4,4,Pepper__bell___Bacterial_spot/018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot 9045.JPG,leaves with the words on it
5,5,Pepper__bell___Bacterial_spot/01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot 9120.JPG,"a leaf, the text that reads"
6,6,Pepper__bell___Bacterial_spot/01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot 9091.JPG,an autumn leaf on concrete floor
7,7,Pepper__bell___Bacterial_spot/01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot 9125.JPG,a leaf with the title'how you love mes all over it '
8,8,Pepper__bell___Bacterial_spot/024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot 8889.JPG,a leaf on the floor
9,9,Pepper__bell___Bacterial_spot/032aa7c4-0a95-4f09-b0bb-1242f4f32d82___NREC_B.Spot 1889.JPG,a leaf that has been cut into the shape
10,10,Pepper__bell___Bacterial_spot/0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot 8897.JPG,a leaf with green leaves on it
11,11,Pepper__bell___Bacterial_spot/0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot 3288.JPG,a leaf on the wall
12,12,Pepper__bell___Bacterial_spot/04d46cfb-9cc8-4083-82af-ca2bb57c8182___NREC_B.Spot 1814.JPG,a leaf in the sand with a quote
13,13,Pepper__bell___Bacterial_spot/05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B.Spot 3327.JPG,a leaf that is broken
14,14,Pepper__bell___Bacterial_spot/0558ff5a-45c7-4ea0-9479-3f71f0048208___JR_B.Spot 3183.JPG,a leaf and the word you can't leave by the end
15,15,Pepper__bell___Bacterial_spot/055a84c4-8286-4b44-816a-66b82d3bd4bc___NREC_B.Spot 9105.JPG,"a leaf with the words,'the word is an hour '"
16,16,Pepper__bell___Bacterial_spot/0576dd21-3958-46a5-ab99-f9865371bd1a___NREC_B.Spot 1957.JPG,an leaf with a shadow cast over it
17,17,Pepper__bell___Bacterial_spot/05c6ea65-cce4-43da-b57b-a45321b0e51b___NREC_B.Spot 9048.JPG,two cats laying on a rock
18,18,Pepper__bell___Bacterial_spot/06d752a4-d4a5-439e-b374-231a2cc64032___NREC_B.Spot 1868.JPG,"an olive leaf that has been fallen, and the words have been removed"
19,19,Pepper__bell___Bacterial_spot/0705b53e-4c54-4fce-9bc0-833db0619f3d___JR_B.Spot 9068.JPG,some kind of leaf on the wall
20,20,Pepper__bell___Bacterial_spot/0719e8e8-c1ae-4d5a-b29c-dbadc36d13f3___NREC_B.Spot 1947.JPG,a leaf on the sand with the word love
